word1	word2	Similarity
man	felt	0.25
man	tongue	0.2
man	aunt	0.2
man	sometimes	0.25
man	could	None
man	time	0.2
man	arrest	0.2
man	obleeged	None
man	asked	0.25
man	without	None
man	go	0.25
man	day	0.2
man	tom	0.25
man	body	0.25
man	torment	0.14285714285714285
man	disappeared	0.25
man	pleasure	0.14285714285714285
man	knew	0.25
man	book	0.25
man	never	0.25
man	loved	0.25
man	weed	0.2
man	trick	0.16666666666666666
man	skin	0.16666666666666666
man	discovered	0.25
man	within	0.25
man	seize	0.2
man	shabbier	0.25
man	higher	0.25
man	perplexed	0.25
man	unalloyed	0.25
man	suffering	0.25
man	sidney	0.16666666666666666
man	want	0.25
man	tell	0.2
man	endowed	0.25
man	wanted	0.25
man	jim	None
man	laying	0.2
man	stealing	0.2
man	thread	0.2
man	examined	0.25
man	duty	0.125
man	marvel	0.2
man	woman	0.3333333333333333
man	far	0.25
man	southwestern	0.25
man	touching	0.25
man	flattered	0.125
man	safe	0.25
man	face	0.3333333333333333
man	remembers	0.25
man	trouble	0.2
man	keep	0.25
man	beat	0.25
man	hovered	0.25
man	help	0.3333333333333333
man	obedient	0.25
man	summer	0.2
man	look	0.25
man	minute	0.25
man	among	None
man	anybody	None
man	adventure	0.16666666666666666
man	age	0.2
man	outfit	0.2
man	stood	0.2
man	noticed	0.25
man	powerful	0.25
man	sew	0.14285714285714285
man	securely	0.25
man	evening	0.2
man	built	0.25
man	got	0.25
man	slight	0.25
man	short	0.25
man	jam	0.16666666666666666
man	gentle	0.25
man	stick	0.2
man	slack	0.25
man	forgotten	0.25
man	spile	0.1
man	sure	0.25
man	saw	0.25
man	model	0.25
man	punching	0.16666666666666666
man	pride	0.2
man	spectacle	0.14285714285714285
man	forty	0.25
man	collar	0.16666666666666666
man	cap	0.16666666666666666
man	little	0.25
man	neither	0.25
man	surprised	0.25
man	part	0.25
man	hand	0.25
man	calculated	0.25
man	damp	0.25
man	strode	0.16666666666666666
man	much	0.25
man	shirt	0.14285714285714285
man	enough	0.25
man	see	0.25
man	quiet	0.25
man	air	0.25
man	hookey	None
man	thrust	0.25
man	back	0.25
man	loathed	0.16666666666666666
man	least	0.25
man	thing	0.2
man	even	0.25
man	younger	0.25
man	whit	0.14285714285714285
man	diligence	0.125
man	reckon	0.16666666666666666
man	bound	0.25
man	drove	0.3333333333333333
man	sagacity	0.14285714285714285
man	skirt	0.2
man	bed	0.25
man	contemplate	0.2
man	ate	0.2
man	stranger	0.3333333333333333
man	circumstantial	0.25
man	finally	0.25
man	pulled	0.2
man	vine	0.16666666666666666
man	sorry	0.25
man	one	0.25
man	full	0.25
man	eye	0.2
man	anything	None
man	splendid	0.25
man	sews	0.14285714285714285
man	gave	0.25
man	polly	None
man	bore	0.25
man	sugar	0.14285714285714285
man	practise	0.25
man	broke	0.25
man	citified	0.25
man	presently	0.25
man	pumped	0.25
man	curiosity	0.2
man	wind	0.2
man	feel	0.25
man	blue	0.25
man	sort	0.3333333333333333
man	bitter	0.25
man	learn	0.25
man	warm	0.25
man	told	0.2
man	mouth	0.2
man	split	0.25
man	spare	0.25
man	already	0.25
man	kept	0.25
man	know	0.25
man	large	0.25
man	wood	0.2
man	fled	0.16666666666666666
man	distance	0.2
man	biggest	0.25
man	barely	0.25
man	missed	0.25
man	knowing	0.25
man	half	0.25
man	put	0.2
man	roof	0.2
man	wait	0.25
man	knack	0.1
man	dressed	0.25
man	uncomfortable	0.25
man	dark	0.25
man	door	0.14285714285714285
man	forgive	0.2
man	astronomer	0.2
man	conscience	0.14285714285714285
man	opportunity	0.125
man	looked	0.25
man	nose	0.2
man	looking	0.25
man	turned	0.25
man	shade	0.2
man	work	0.5
man	fool	0.25
man	soon	0.25
man	might	0.14285714285714285
man	damaging	0.25
man	dry	0.25
man	dainty	0.25
man	think	0.25
man	kindling	0.2
man	play	0.25
man	needle	0.16666666666666666
man	wish	0.2
man	bet	0.14285714285714285
man	heart	0.14285714285714285
man	two	0.25
man	switch	0.25
man	sid	None
man	sewed	0.25
man	furniture	0.16666666666666666
man	run	0.25
man	pair	0.2
man	scrambled	0.25
man	place	0.2
man	unbutton	0.14285714285714285
man	lad	0.3333333333333333
man	mind	0.25
man	soul	0.5
man	attention	0.125
man	home	0.25
man	resurrected	0.16666666666666666
man	voice	0.25
man	like	0.25
man	midst	0.125
man	noise	0.16666666666666666
man	let	0.25
man	lam	0.2
man	harmony	0.14285714285714285
man	opened	0.25
man	ever	0.25
man	punish	0.25
man	carried	0.25
man	hate	0.2
man	kind	0.25
man	le	0.07692307692307693
man	poor	0.25
man	pump	0.2
man	stared	0.2
man	lash	0.2
man	searched	0.25
man	lick	0.2
man	larger	0.25
man	spite	0.16666666666666666
man	boy	0.5
man	behind	0.25
man	reached	0.25
man	interest	0.25
man	nothing	0.25
man	peril	0.2
man	advantage	0.14285714285714285
man	middling	0.25
man	mighty	0.25
man	device	0.2
man	undo	0.25
man	gone	0.25
man	make	0.25
man	valued	0.25
man	punch	0.16666666666666666
man	hit	0.25
man	vexed	0.25
man	alone	0.25
man	small	0.25
man	bright	0.25
man	reflect	0.25
man	street	0.14285714285714285
man	question	0.16666666666666666
man	bending	0.2
man	u	0.25
man	sin	0.125
man	thought	0.25
man	interval	0.2
man	probably	0.25
man	breath	0.125
man	constituted	0.25
man	get	0.25
man	lay	0.25
man	every	0.25
man	cloth	0.16666666666666666
man	played	0.25
man	well	0.25
man	angle	0.2
man	loud	0.25
man	old	0.25
man	finery	0.1111111111111111
man	conduct	0.25
man	stumbled	0.2
man	village	0.16666666666666666
man	hurt	0.25
man	vanished	0.25
man	transparent	0.25
man	vanity	0.16666666666666666
man	bit	0.16666666666666666
man	novelty	0.14285714285714285
man	reader	0.25
man	needed	0.25
man	long	0.25
man	heavy	0.25
man	seemed	0.2
man	simply	0.25
man	saying	0.25
man	state	0.2
man	new	0.25
man	forestalled	0.25
man	brother	0.25
man	lapel	0.1111111111111111
man	talent	0.25
man	lady	0.25
man	believe	0.16666666666666666
man	next	0.25
man	born	0.25
man	trap	0.25
man	excitement	0.1111111111111111
man	checked	0.25
man	acquired	0.25
man	dog	0.25
man	made	0.25
man	many	0.25
man	singed	0.2
man	open	0.25
man	rod	0.16666666666666666
man	dander	0.1111111111111111
man	glad	0.25
man	peculiar	0.25
man	ruination	0.125
man	hard	0.25
man	scripture	0.125
man	confound	0.2
man	colored	0.25
man	season	0.25
man	high	0.25
man	sex	0.2
man	snatched	0.25
man	overlooked	0.25
man	punctuate	0.125
man	white	0.5
man	went	0.25
man	shot	0.25
man	dead	0.25
man	misfortune	0.125
man	scare	0.16666666666666666
man	still	0.25
man	pet	0.25
man	whirled	0.2
man	rather	0.25
man	good	0.25
man	tomato	0.14285714285714285
man	touch	0.25
man	seen	0.25
man	shabby	0.25
man	either	0.25
man	goodness	0.16666666666666666
man	hold	0.25
man	mysterious	0.25
man	roundabout	0.25
man	produced	0.25
man	low	0.25
man	shoe	0.14285714285714285
man	said	0.25
man	eating	0.2
man	wore	0.25
man	seldom	0.25
man	lifted	0.25
man	consisted	0.2
man	liquid	0.25
felt	man	0.25
felt	tongue	0.2
felt	aunt	0.1
felt	sometimes	0.3333333333333333
felt	could	None
felt	time	0.2
felt	arrest	0.25
felt	obleeged	None
felt	asked	0.3333333333333333
felt	without	None
felt	go	0.3333333333333333
felt	day	0.14285714285714285
felt	tom	0.1111111111111111
felt	body	0.2
felt	torment	0.16666666666666666
felt	disappeared	0.3333333333333333
felt	pleasure	0.125
felt	knew	0.3333333333333333
felt	book	0.16666666666666666
felt	never	0.3333333333333333
felt	loved	0.3333333333333333
felt	weed	0.25
felt	trick	0.1111111111111111
felt	skin	0.2
felt	discovered	0.3333333333333333
felt	within	0.3333333333333333
felt	seize	0.25
felt	shabbier	0.3333333333333333
felt	higher	0.3333333333333333
felt	perplexed	0.3333333333333333
felt	unalloyed	0.3333333333333333
felt	suffering	0.5
felt	sidney	0.09090909090909091
felt	want	0.3333333333333333
felt	tell	0.25
felt	endowed	0.3333333333333333
felt	wanted	0.3333333333333333
felt	jim	None
felt	laying	0.25
felt	stealing	0.25
felt	thread	0.25
felt	examined	0.3333333333333333
felt	duty	0.1111111111111111
felt	marvel	0.25
felt	woman	0.125
felt	far	0.3333333333333333
felt	southwestern	0.3333333333333333
felt	touching	0.5
felt	flattered	0.16666666666666666
felt	safe	0.3333333333333333
felt	face	0.3333333333333333
felt	remembers	0.3333333333333333
felt	trouble	0.25
felt	keep	0.3333333333333333
felt	beat	0.3333333333333333
felt	hovered	0.3333333333333333
felt	help	0.25
felt	obedient	0.3333333333333333
felt	summer	0.25
felt	look	0.5
felt	minute	0.3333333333333333
felt	among	None
felt	anybody	None
felt	adventure	0.2
felt	age	0.25
felt	outfit	0.16666666666666666
felt	stood	0.3333333333333333
felt	noticed	0.3333333333333333
felt	powerful	0.3333333333333333
felt	sew	0.16666666666666666
felt	securely	0.3333333333333333
felt	evening	0.25
felt	built	0.3333333333333333
felt	got	0.3333333333333333
felt	slight	0.3333333333333333
felt	short	0.3333333333333333
felt	jam	0.2
felt	gentle	0.3333333333333333
felt	stick	0.3333333333333333
felt	slack	0.3333333333333333
felt	forgotten	0.3333333333333333
felt	spile	0.125
felt	sure	0.3333333333333333
felt	saw	0.5
felt	model	0.3333333333333333
felt	punching	0.25
felt	pride	0.5
felt	spectacle	0.14285714285714285
felt	forty	0.3333333333333333
felt	collar	0.2
felt	cap	0.2
felt	little	0.3333333333333333
felt	neither	0.3333333333333333
felt	surprised	0.3333333333333333
felt	part	0.3333333333333333
felt	hand	0.25
felt	calculated	0.3333333333333333
felt	damp	0.3333333333333333
felt	strode	0.2
felt	much	0.3333333333333333
felt	shirt	0.2
felt	enough	0.3333333333333333
felt	see	0.5
felt	quiet	0.3333333333333333
felt	air	0.3333333333333333
felt	hookey	None
felt	thrust	0.3333333333333333
felt	back	0.3333333333333333
felt	loathed	0.2
felt	least	0.3333333333333333
felt	thing	0.25
felt	even	0.3333333333333333
felt	younger	0.3333333333333333
felt	whit	0.125
felt	diligence	0.1111111111111111
felt	reckon	0.3333333333333333
felt	bound	0.3333333333333333
felt	drove	0.3333333333333333
felt	sagacity	0.125
felt	skirt	0.25
felt	bed	0.3333333333333333
felt	contemplate	0.25
felt	ate	0.25
felt	stranger	0.3333333333333333
felt	circumstantial	0.3333333333333333
felt	finally	0.3333333333333333
felt	pulled	0.25
felt	vine	0.1111111111111111
felt	sorry	0.3333333333333333
felt	one	0.3333333333333333
felt	full	0.3333333333333333
felt	eye	0.25
felt	anything	None
felt	splendid	0.3333333333333333
felt	sews	0.16666666666666666
felt	gave	0.3333333333333333
felt	polly	None
felt	bore	0.3333333333333333
felt	sugar	0.16666666666666666
felt	practise	0.3333333333333333
felt	broke	0.3333333333333333
felt	citified	0.3333333333333333
